bioguide_id,name,gender,type,state,district,party,start,end,days_in_office
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
W000437,Roger Wicker,M,sen,MS,-,Republican,2013-01-03,2019-01-03,2191 days 00:00:00.000000000
A000360,Lamar Alexander,M,sen,TN,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
C001035,Susan Collins,F,sen,ME,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
C001056,John Cornyn,M,sen,TX,-,Republican,2015-01-06,2021-01-03,2189 days 00:00:00.000000000
