bill_id,titles_text,enacted_as
hjres144-115,"Proposing an amendment to the Constitution of the United States respecting the right to clean air, pure water, and the sustainable preservation of the ecological integrity, and aesthetic, scenic, and historical values of the natural environment.",0
hjres143-115,"Making further continuing appropriations for fiscal year 2019, and for other purposes.",1
hjres126-115,Proposing an amendment to the Constitution of the United States relating to contributions and expenditures with respect to Federal elections.,0
hjres119-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres121-115,Proposing an amendment to the Constitution of the United States relating to parental rights.,0
hjres117-115,"Condemning the violence and domestic terrorist attack that took place during events between August 11 and August 12, 2017, in Charlottesville, Virginia, recognizing the first responders who lost their lives while monitoring the events, offering deepest condolences to the families and friends of those individuals who were killed and deepest sympathies and support to those individuals who were injured in the attack, expressing support for the Charlottesville community, rejecting White nationalists, White supremacists, the Ku Klux Klan, neo-Nazis, and other hate groups, and urging the President and the President's Cabinet to use all available resources to address the threats posed by those groups.",0
hjres128-115,"Making a further extension of continuing appropriations for fiscal year 2018, and for other purposes.Department of Defense Appropriations Act, 2018",0
hjres110-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres142-115,Directing the President to terminate the use of the United States Armed Forces with respect to the military intervention led by Saudi Arabia in the Republic of Yemen.,0
hjres145-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Treasury relating to ""Returns by Exempt Organizations and Returns by Certain Non-Exempt Organizations"".",0
hjres111-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by Bureau of Consumer Financial Protection relating to ""Arbitration Agreements"".",1
hjres116-115,"Proposing an amendment to the Constitution of the United States prohibiting Congress and the States from abridging the right of citizens to affordable, quality health care.",0
hjres129-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".",0
hjres120-115,Proposing an amendment to the Constitution of the United States limiting the pardon power of the President.,0
hjres127-115,"Making continuing appropriations for military pay and for death gratuities and related survivor benefits for survivors of deceased military service members of the Department of Defense for fiscal year 2018, and for other purposes.Pay Our Military Continuing Appropriations Resolution, 2018",0
hjres118-115,"Authorizing the use of United States Armed Forces against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria, and any associated persons engaged in hostilities against the United States, and for other purposes.Authorization for Use of Military Force Against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria",0
hjres58-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.",1
hjres93-115,Proposing an amendment to the Constitution of the United States to protect the rights of crime victims.,0
hjres67-115,Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.,1
hjres60-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the United States Fish and Wildlife Service relating to the use of compensatory mitigation as recommended or required under the Endangered Species Act of 1973.",0
hjres94-115,Proposing an amendment to the Constitution of the United States to repeal the sixteenth article of amendment.,0
hjres69-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska"".",1
hjres56-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Onshore Oil and Gas Operations; Federal and Indian Oil and Gas Leases; Site Security"".",0
hjres51-115,Approving the discontinuation of the process for consideration and automatic implementation of the annual proposal of the Independent Medicare Advisory Board under section 1899A of the Social Security Act.,0
hjres34-115,Disapproving the rule submitted by the Department of the Interior regarding requirements for exploratory drilling on the Arctic Outer Continental Shelf.,0
hjres33-115,Proposing an amendment to the Constitution of the United States relative to equal rights for men and women.,0
hjres50-115,Proposing an amendment to the Constitution of the United States to limit the number of terms a Representative or Senator may serve.,0
hjres68-115,Providing for congressional disapproval under chapter 8 of title 5 of the United States Code of a rule submitted by the Bureau of Land Management relating to standards for measurement and reporting of gas removed or sold from Federal and Indian lands and areas subject to communitization agreements.,0
hjres57-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965.",1
hjres95-115,"Expressing support for designation of September 2017 as ""Gospel Music Heritage Month"" and honoring gospel music for its valuable and longstanding contributions to the culture of the United States.",0
hjres61-115,Proposing an amendment to the Constitution of the United States giving Congress power to prohibit the physical desecration of the flag of the United States.,0
hjres59-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Accidental Release Prevention Requirements: Risk Management Programs under the Clean Air Act"".",0
hjres66-115,Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,1
hjres92-115,"Granting the consent and approval of Congress for the Commonwealth of Virginia, the State of Maryland, and the District of Columbia to amend the Washington Area Transit Regulation Compact.",0
hjres32-115,Proposing an amendment to the Constitution of the United States to give States the authority to repeal Federal rules and regulations when the repeal is agreed to by the legislatures of two-thirds of the several States.,0
hjres35-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska"".",0
hjres19-115,Proposing an amendment to the Constitution of the United States to abolish the electoral college and to provide for the direct election of the President and Vice President of the United States.,0
hjres26-115,"Denying congressional consent for President Donald J. Trump to accept any present, Emolument, Office, or Title, of any kind whatever, from any King, Prince, or foreign state throughout the tenure of his Presidency.No Congressional Consent for President Donald J. Trump To Accept Foreign Emoluments of Any Kind Whatsoever",0
hjres21-115,Proposing an amendment to the Constitution of the United States to limit Congress' power to impose a tax on a failure to purchase goods or services.,0
hjres28-115,Proposing an amendment to the Constitution of the United States to protect the voting rights of the citizens of the United States.,0
hjres17-115,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,0
hjres10-115,To authorize the use of the United States Armed Forces to achieve the goal of preventing Iran from obtaining nuclear weapons.Authorization of Use of Force Against Iran Resolution,0
hjres44-115,"Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976.",1
hjres43-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.",1
hjres88-115,"Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies or other corporate entities established by the laws of any State, the United States, or any foreign state.",0
hjres81-115,Proposing an amendment to the Constitution of the United States regarding health care.,0
hjres75-115,To amend the War Powers Resolution.War Powers Amendments of 2017,0
hjres72-115,"Relating to the disapproval of the proposed foreign military sale to the Government of Kenya of Air Tractor aircraft with weapons, and related support.",0
hjres86-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Protecting the Privacy of Customers of Broadband and Other Telecommunications Services"".",0
hjres11-115,Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,0
