bill_id,bill_type,subjects_top_term,enacted_as
hconres76-115,hconres,Taxation,0
hconres82-115,hconres,International affairs,0
hconres49-115,hconres,Education,0
hconres104-115,hconres,Emergency management,0
hconres6-115,hconres,International affairs,0
hconres85-115,hconres,Economics and public finance,0
hconres71-115,hconres,Economics and public finance,0
hconres103-115,hconres,Congress,0
hconres1-115,hconres,Congress,0
hconres8-115,hconres,Congress,0
hconres47-115,hconres,International affairs,0
hconres135-115,hconres,Congress,0
hconres78-115,hconres,"Civil rights and liberties, minority issues",0
hconres40-115,hconres,Foreign trade and international finance,0
hconres132-115,hconres,Crime and law enforcement,0
hconres14-115,hconres,Congress,0
hconres13-115,hconres,"Science, technology, communications",0
hconres25-115,hconres,Immigration,0
hconres22-115,hconres,Armed forces and national security,0
hconres41-115,hconres,Armed forces and national security,0
hconres133-115,hconres,"Science, technology, communications",0
hconres46-115,hconres,Animals,0
hconres9-115,hconres,"Civil rights and liberties, minority issues",0
hconres79-115,hconres,Government operations and politics,0
hconres134-115,hconres,Government operations and politics,0
hconres70-115,hconres,Armed forces and national security,0
hconres84-115,hconres,Commerce,0
hconres102-115,hconres,Congress,0
hconres83-115,hconres,Congress,0
hconres77-115,hconres,"Civil rights and liberties, minority issues",0
hconres105-115,hconres,Armed forces and national security,0
hconres7-115,hconres,Congress,0
hconres48-115,hconres,Congress,0
hconres23-115,hconres,Congress,0
hconres24-115,hconres,Government operations and politics,0
hconres12-115,hconres,Social sciences and history,0
hconres15-115,hconres,International affairs,0
hconres37-115,hconres,Foreign trade and international finance,0
hconres145-115,hconres,Armed forces and national security,0
hconres30-115,hconres,Armed forces and national security,0
hconres142-115,hconres,International affairs,0
hconres39-115,hconres,Government operations and politics,0
hconres127-115,hconres,Crime and law enforcement,0
hconres118-115,hconres,Congress,0
hconres55-115,hconres,International affairs,0
hconres120-115,hconres,Housing and community development,0
hconres99-115,hconres,International affairs,0
hconres52-115,hconres,Armed forces and national security,0
hconres116-115,hconres,Economics and public finance,0
hconres64-115,hconres,Congress,0
hconres129-115,hconres,"Arts, culture, religion",0
hconres90-115,hconres,International affairs,0
hconres111-115,hconres,Sports and recreation,0
hconres97-115,hconres,Taxation,0
hconres63-115,hconres,Transportation and public works,0
hconres38-115,hconres,Health,0
hconres31-115,hconres,Crime and law enforcement,0
hconres143-115,hconres,Sports and recreation,0
hconres36-115,hconres,Congress,0
hconres144-115,hconres,International affairs,0
hconres110-115,hconres,International affairs,0
hconres62-115,hconres,International affairs,0
hconres96-115,hconres,International affairs,0
hconres117-115,hconres,"Civil rights and liberties, minority issues",0
hconres128-115,hconres,Economics and public finance,0
hconres91-115,hconres,Health,0
hconres65-115,hconres,Sports and recreation,0
hconres121-115,hconres,Armed forces and national security,0
hconres98-115,hconres,Armed forces and national security,0
hconres53-115,hconres,Economics and public finance,0
hconres126-115,hconres,"Civil rights and liberties, minority issues",0
hconres54-115,hconres,International affairs,0
hconres119-115,hconres,Taxation,0
hconres10-115,hconres,Taxation,0
hconres28-115,hconres,Congress,0
hconres17-115,hconres,"Civil rights and liberties, minority issues",0
hconres21-115,hconres,International affairs,0
hconres19-115,hconres,Armed forces and national security,0
hconres26-115,hconres,"Science, technology, communications",0
hconres86-115,hconres,Education,0
hconres72-115,hconres,Families,0
hconres100-115,hconres,Economics and public finance,0
hconres2-115,hconres,International affairs,0
hconres75-115,hconres,Housing and community development,0
hconres81-115,hconres,International affairs,0
