bill_id,bill_type,subjects_top_term,cosponsors,num_cosponsors,num_support,enacted_as
hjres144-115,hjres,Environmental protection,"['B001300', 'J000298']",2,3,0
hjres143-115,hjres,Economics and public finance,[],0,1,1
hjres126-115,hjres,Government operations and politics,"['C001068', 'D000623', 'N000147', 'W000800']",4,5,0
hjres119-115,hjres,Economics and public finance,"['B001293', 'C001103', 'D000616', 'G000565', 'G000568', 'G000558', 'K000386', 'M001184', 'M001187', 'M001195', 'P000601', 'S000051', 'S000244', 'W000806', 'Z000017']",15,16,0
hjres121-115,hjres,Families,"['A000372', 'B001291', 'B001299', 'B001305', 'C000059', 'C001105', 'D000615', 'D000533', 'H001053', 'H001071', 'H001058', 'L000564', 'M001158', 'M001187', 'M001195', 'N000184', 'N000190', 'P000606', 'P000599', 'W000798']",20,21,0
hjres117-115,hjres,"Civil rights and liberties, minority issues","['B001292', 'B001290', 'C001105', 'C001078', 'G000289', 'G000568', 'M001200', 'N000147', 'S000185', 'T000477', 'W000804']",11,12,0
hjres128-115,hjres,Armed forces and national security,[],0,1,0
hjres110-115,hjres,Economics and public finance,['C001063'],1,2,0
hjres142-115,hjres,International affairs,[],0,1,0
hjres145-115,hjres,Taxation,"['B001292', 'C001112', 'C000754', 'C000984', 'D000623', 'D000610', 'D000624', 'G000559', 'H000324', 'J000298', 'K000188', 'L000579', 'M000087', 'M000312', 'N000147', 'P000607', 'S001168', 'S001145', 'W000800']",19,20,0
hjres111-115,hjres,Finance and financial sector,"['B001282', 'B001305', 'D000626', 'D000614', 'E000294', 'H001036', 'H001072', 'H001074', 'H001058', 'H001059', 'K000210', 'K000392', 'L000583', 'L000584', 'L000491', 'L000569', 'M001193', 'M001156', 'M001189', 'M001195', 'P000588', 'P000606', 'P000611', 'P000599', 'R000593', 'R000487', 'S000250', 'S001187', 'T000478', 'T000470', 'T000475', 'W000812', 'W000816', 'Z000017']",34,35,1
hjres116-115,hjres,Health,"['B001300', 'C001067', 'E000296', 'H000324', 'J000298', 'K000009', 'K000385', 'K000389', 'N000147', 'P000604', 'T000193', 'W000822']",12,13,0
hjres129-115,hjres,"Science, technology, communications","['A000370', 'A000371', 'B001300', 'B001270', 'B001281', 'B001287', 'B001292', 'B000490', 'B000574', 'B001303', 'B001278', 'B001245', 'B001296', 'B001304', 'B001285', 'B001286', 'C001037', 'C001112', 'C001097', 'C001072', 'C001066', 'C001091', 'C001080', 'C001084', 'C001101', 'C001067', 'C001049', 'C000537', 'C001068', 'C001078', 'C000754', 'C001069', 'C001111', 'C001038', 'C000984', 'D000096', 'D000598', 'D000191', 'D000197', 'D000620', 'D000216', 'D000617', 'D000627', 'D000623', 'D000610', 'D000624', 'D000399', 'E000288', 'E000179', 'E000215', 'E000297', 'E000293', 'F000454', 'F000462', 'F000455', 'G000571', 'G000574', 'G000559', 'G000585', 'G000551', 'G000535', 'H001050', 'H001064', 'H001038', 'H001047', 'H000874', 'H001068', 'J000032', 'J000298', 'J000294', 'J000126', 'J000288', 'K000009', 'K000375', 'K000385', 'K000379', 'K000389', 'K000390', 'K000380', 'K000381', 'K000188', 'K000391', 'K000382', 'L000588', 'L000559', 'L000560', 'L000557', 'L000581', 'L000586', 'L000551', 'L000263', 'L000287', 'L000563', 'L000565', 'L000397', 'L000579', 'L000480', 'L000580', 'L000570', 'L000562', 'M000087', 'M001185', 'M001163', 'M001143', 'M001200', 'M000312', 'M001166', 'M001188', 'M001160', 'M001206', 'M001196', 'N000002', 'N000179', 'N000015', 'N000127', 'N000188', 'N000147', 'O000170', 'P000034', 'P000613', 'P000096', 'P000197', 'P000593', 'P000258', 'P000597', 'P000607', 'P000598', 'P000523', 'Q000023', 'R000606', 'R000602', 'R000588', 'R000608', 'R000486', 'R000599', 'R000577', 'S001177', 'S001156', 'S001168', 'S001145', 'S001150', 'S001180', 'S000185', 'S000248', 'S001185', 'S001170', 'S000344', 'S001165', 'S000480', 'S000510', 'S001200', 'S001175', 'S001201', 'S001193', 'T000472', 'T000460', 'T000468', 'T000469', 'T000474', 'T000465', 'V000130', 'V000131', 'V000081', 'V000108', 'W000799', 'W000797', 'W000187', 'W000822', 'W000800', 'W000808', 'Y000062']",171,172,0
hjres120-115,hjres,Crime and law enforcement,"['B001296', 'E000296', 'G000553', 'J000298', 'J000288', 'J000255', 'L000582', 'P000604', 'R000606', 'W000187', 'W000808']",11,12,0
hjres127-115,hjres,Armed forces and national security,[],0,1,0
hjres118-115,hjres,International affairs,"['B001298', 'B001297', 'B001289', 'C000754', 'G000574', 'P000613', 'S001175']",7,8,0
hjres58-115,hjres,Education,"['A000372', 'A000375', 'B001302', 'B001289', 'F000465', 'F000450', 'J000290', 'M001201', 'R000582', 'S000250', 'S001196', 'T000467', 'Y000065']",13,14,1
hjres93-115,hjres,Crime and law enforcement,"['C000266', 'R000487']",2,3,0
hjres67-115,hjres,Labor and employment,"['F000450', 'M001189', 'M001201', 'R000582', 'S000250', 'W000798', 'W000795']",7,8,1
hjres60-115,hjres,Environmental protection,"['B001302', 'C001096', 'G000552', 'G000565', 'P000588', 'R000600', 'S000250']",7,8,0
hjres94-115,hjres,Taxation,['W000810'],1,2,0
hjres69-115,hjres,Public lands and natural resources,"['M001195', 'S000250']",2,3,1
hjres56-115,hjres,Energy,"['B001302', 'C001096', 'G000552', 'G000565', 'L000564', 'M001195', 'N000189', 'R000600', 'S001192', 'W000821']",10,11,0
