bioguide_id,name,gender,type,state,district,party,start,end,days_in_office,overall_bills_sponsored,overall_pass_rate
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,71,0.014084507042253521
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,40,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,87,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,23,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,82,0.012195121951219513
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,67,0.029850746268656716
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,92,0.03260869565217391
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,79,0.012658227848101266
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,31,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,50,0.02
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,73,0.0136986301369863
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,41,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,31,0.0
W000437,Roger Wicker,M,sen,MS,-,Republican,2013-01-03,2019-01-03,2191,52,0.0
A000360,Lamar Alexander,M,sen,TN,-,Republican,2015-01-06,2021-01-03,2189,31,0.06451612903225806
C001035,Susan Collins,F,sen,ME,-,Republican,2015-01-06,2021-01-03,2189,58,0.034482758620689655
C001056,John Cornyn,M,sen,TX,-,Republican,2015-01-06,2021-01-03,2189,81,0.07407407407407407
D000563,Richard Durbin,M,sen,IL,-,Democrat,2015-01-06,2021-01-03,2189,60,0.0
E000285,Michael Enzi,M,sen,WY,-,Republican,2015-01-06,2021-01-03,2189,29,0.034482758620689655
G000359,Lindsey Graham,M,sen,SC,-,Republican,2015-01-06,2021-01-03,2189,27,0.0
I000024,James Inhofe,M,sen,OK,-,Republican,2015-01-06,2021-01-03,2189,35,0.02857142857142857
M000355,Mitch McConnell,M,sen,KY,-,Republican,2015-01-06,2021-01-03,2189,48,0.0
M001176,Jeff Merkley,M,sen,OR,-,Democrat,2015-01-06,2021-01-03,2189,69,0.014492753623188406
R000122,John Reed,M,sen,RI,-,Democrat,2015-01-06,2021-01-03,2189,33,0.06060606060606061
R000584,James Risch,M,sen,ID,-,Republican,2015-01-06,2021-01-03,2189,26,0.038461538461538464
