bioguide_id,name,gender,type,state,district,party,start,end,days_in_office,subjects_top_term,by_subj_bills_sponsored,by_subj_pass_rate
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Agriculture and food,2.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,5.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,"Arts, culture, religion",1.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,"Civil rights and liberties, minority issues",2.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,3.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Economics and public finance,1.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Education,2.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Finance and financial sector,2.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Foreign trade and international finance,1.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,2.0,0.5
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Health,18.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Housing and community development,1.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,3.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Labor and employment,6.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Law,1.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,2.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Social welfare,1.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Sports and recreation,1.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,13.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,2.0,0.0
B000944,Sherrod Brown,M,sen,OH,-,Democrat,2013-01-03,2019-01-03,2191,none provided,2.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,4.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,"Arts, culture, religion",1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Education,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Emergency management,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Energy,4.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Environmental protection,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Foreign trade and international finance,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Health,2.0,0.0
